loan_id,cust_id,principal,interest_rate,period,paid,EMI
75,2625,301352.11,4.83,334,92359.01,1642.25
76,113,21516.96,4.76,256,19169.36,133.98
77,225,390013.62,8.0,319,225964.99,2954.91
78,1654,389943.06,14.65,90,72115.87,7164.25
79,966,327899.16,7.71,241,216049.79,2679.11
80,892,454526.09,12.95,182,170963.91,5715.35
81,1734,450856.66,8.22,329,299463.11,3453.88
82,2903,211205.39,11.06,141,33458.79,2682.32
83,160,186345.11,3.84,51,11698.41,3965.91
84,2528,146335.31,6.35,336,63777.43,932.7
85,1695,462378.88,14.46,192,366169.48,6192.68
86,1493,453547.99,13.53,210,353991.23,5650.19
87,28,197648.38,8.38,277,179924.1,1615.24
88,70,478183.5,10.5,172,447336.13,5388.25
89,1426,133640.13,5.11,293,47078.31,799.2
90,1763,339757.22,12.72,31,234012.08,12916.53
91,2720,163854.2,4.05,141,75352.3,1462.36
92,1835,353001.57,11.79,131,208790.28,4802.44
93,1762,189538.27,13.76,299,95498.45,2247.71
94,1163,96675.68,13.92,139,63327.28,1404.02
95,1365,331006.26,14.34,163,87117.62,4622.22
96,2619,200296.82,5.5,58,73974.03,3940.58
97,2164,276627.33,6.11,160,46630.3,2531.91
98,1424,101284.85,13.63,16,41541.13,6958.71
99,1807,459027.4,12.05,280,160131.33,4908.6
100,2455,379206.65,14.49,45,117103.96,10972.15
101,2957,202606.71,5.18,23,198338.3,9272.5
102,2405,31152.47,8.56,131,26594.53,366.76
103,551,119428.97,9.14,103,55255.91,1677.39
104,887,140891.84,4.78,220,106744.35,962.69
105,209,124916.76,8.37,84,81775.63,1970.09
106,2482,37700.2,9.21,72,37004.18,683.5
107,1752,21661.68,10.51,272,6436.23,209.24
108,1619,251205.38,9.63,305,61974.96,2208.86
109,2676,241332.19,5.31,110,24657.26,2775.78
110,1883,200168.02,6.98,220,136958.2,1615.22
111,2177,462468.59,8.0,353,396103.7,3409.77
112,627,323375.73,14.96,181,193978.68,4510.38
113,545,14417.3,10.15,61,2776.45,303.52
114,2336,350871.01,14.41,347,75019.08,4281.41
115,461,135473.22,5.32,130,44544.76,1373.33
116,2404,460536.73,13.07,46,263157.5,12781.53
117,1286,43601.56,13.3,30,35783.75,1716.34
118,1496,364344.99,8.56,196,39740.31,3457.43
119,6,199420.94,12.2,21,3433.22,10594.01
120,1210,307940.47,5.57,128,28945.22,3196.24
121,978,212495.03,9.84,328,97199.04,1870.91
122,628,188890.31,10.75,21,131978.88,9907.47
123,984,497906.09,9.89,207,330678.79,5021.88
124,2844,400889.07,4.67,297,241857.45,2279.24
125,2502,104447.07,14.3,20,18715.6,5900.29
126,1998,391976.34,13.77,155,155438.05,5423.04
127,2567,242595.31,12.34,286,57966.61,2636.01
128,1570,56115.12,4.8,299,5577.35,322.1
129,639,468781.36,7.41,337,50181.5,3310.56
130,1794,154262.73,9.03,320,115935.3,1276.77
131,2921,337371.34,10.24,321,18946.98,3080.28
132,1512,101589.33,5.44,246,3330.29,686.02
133,2494,430617.26,3.94,158,78498.96,3497.58
134,774,82755.96,7.36,241,20396.11,658.41
135,1770,489893.72,8.88,53,292523.02,11207.79
136,226,126540.8,4.65,149,32395.39,1119.5
137,1326,100958.52,11.6,281,60142.88,1046.0
138,2765,213785.28,4.67,311,23692.55,1186.52
139,1226,212880.02,11.64,238,211385.55,2295.68
140,1938,94133.33,3.65,306,34375.5,473.12
141,1190,457011.06,14.06,118,435546.6,7167.8
142,252,189228.94,11.07,252,123055.76,1937.14
143,2462,21886.31,9.66,172,14525.77,235.48
144,1317,191181.68,8.84,73,80164.99,3395.33
145,2454,260962.05,4.62,258,137062.04,1597.45
146,2204,220950.49,10.84,343,99136.32,2091.61
147,280,141122.25,10.97,161,14983.65,1677.73
148,1552,322177.25,8.72,143,60446.75,3630.22
149,1790,195055.43,10.26,196,60231.8,2055.1
150,1806,429090.96,10.14,107,322750.49,6108.46
151,1274,263394.83,14.47,173,54280.88,3632.86
152,307,160319.26,7.82,235,84395.86,1334.81
153,2829,226176.02,10.59,166,118142.94,2600.92
154,1209,217832.06,6.56,291,2306.2,1497.22
155,2742,434540.17,13.0,199,279162.89,5332.23
156,2635,271204.88,5.04,31,104769.15,9348.76
157,1079,231916.81,5.19,263,162501.76,1478.13
158,2673,149688.78,6.61,224,33081.06,1164.85
159,419,417738.68,14.45,287,64104.57,5197.72
160,244,472905.4,14.53,329,50591.46,5837.41
161,976,432025.17,9.11,36,223199.75,13760.41
162,1867,434168.88,4.65,12,423960.06,37098.5
163,52,32081.6,12.73,306,8178.83,354.36
164,964,493034.21,4.86,301,11085.91,2837.31
165,1517,78661.16,6.9,59,21352.38,1575.95
166,2823,410827.54,8.8,179,184627.11,4129.26
167,2893,87105.22,3.82,148,17191.14,738.96
168,63,167059.94,13.16,315,31909.64,1893.05
169,1817,450283.83,9.37,230,47886.46,4221.54
170,195,77193.26,7.43,319,31354.67,555.5
171,1894,333889.99,8.67,243,258580.53,2920.12
172,1409,334769.56,9.06,176,252294.27,3444.04
173,499,330183.95,7.11,81,24437.69,5144.29
174,1606,128957.99,9.31,26,63260.73,5496.13
175,1334,433988.42,14.73,62,204720.74,10038.93
176,2946,312895.32,8.17,344,97662.46,2358.86
177,1415,360788.88,12.27,231,47869.84,4077.99
178,1268,20014.46,4.36,215,7525.82,134.3
179,2080,364756.87,11.45,21,196766.08,19250.11
180,1003,11967.31,14.49,22,2565.31,622.68
181,663,131302.33,6.33,40,76338.54,3649.66
182,1078,107279.54,8.79,315,96201.77,873.49
183,948,459985.85,14.6,287,94610.35,5776.09
184,1019,444046.31,13.73,295,265988.79,5264.19
185,1274,345988.69,9.5,282,96115.13,3071.43
186,1775,475788.91,12.04,198,131663.28,5541.37
187,229,456117.53,10.48,37,130826.89,14479.58
188,528,20645.0,12.84,74,11730.92,405.28
189,329,448085.76,12.18,225,282967.14,5070.77
190,2302,35881.83,7.71,193,16697.77,324.95
191,439,39641.89,7.98,282,14741.03,311.7
192,2620,281391.36,9.8,135,197151.57,3448.06
193,2359,278726.31,7.34,94,213670.95,3907.67
194,2181,391549.81,4.92,133,1940.48,3825.14
195,1017,399986.31,5.4,232,91717.02,2781.41
196,2457,428874.8,5.64,146,65738.07,4066.36
197,324,159613.22,10.47,252,29647.21,1568.29
198,2360,216139.06,9.72,181,56384.69,2280.16
199,2985,479243.22,3.98,84,240744.47,6546.27
200,1832,86595.24,3.75,222,623.03,541.48
201,1337,318745.35,6.88,193,206858.94,2734.72
202,454,30967.92,6.31,143,20515.15,308.63
203,2835,494816.29,5.97,18,217165.32,28807.3
204,1649,486193.94,7.72,324,214999.01,3575.56
205,2582,373146.35,7.26,125,14106.09,4263.48
206,1256,265460.46,13.36,356,67880.55,3013.98
207,1120,359428.86,11.9,62,300295.45,7788.7
208,2993,119670.63,12.05,296,5270.17,1267.54
209,950,226985.92,14.67,325,207538.41,2829.44
210,2020,179136.04,4.1,101,57979.28,2100.21
211,2852,334553.65,13.28,271,68030.37,3899.97
212,2752,22307.55,7.04,270,13301.11,164.85
213,2218,248527.48,12.75,254,163901.45,2834.04
214,878,286787.58,8.93,183,196777.15,2874.27
215,901,406861.36,10.97,230,86416.7,4242.55
216,2753,64702.31,6.24,285,4646.67,435.85
217,2705,41803.98,7.07,115,2355.81,501.49
218,955,77680.53,13.07,61,47066.79,1749.66
219,2291,312141.95,7.19,82,272426.23,4829.17
220,98,14846.94,5.57,293,12119.06,92.81
221,6,452844.43,10.65,337,210227.1,4234.58
222,2740,120197.07,9.84,161,80977.7,1347.43
223,596,216119.03,11.04,19,73787.63,12449.89
224,2410,452382.16,6.22,216,405942.97,3486.01
225,2465,384769.99,7.0,21,122178.79,19520.86
226,2171,236587.37,6.02,151,103262.61,2238.21
227,1525,103413.27,5.4,126,25268.31,1077.09
228,1188,285521.45,7.99,122,178190.77,3425.56
229,1490,67406.47,11.68,357,26222.2,677.42
230,2719,10789.78,11.01,290,2859.71,106.53
231,235,354793.42,11.69,173,88121.28,4250.77
232,2254,234719.07,14.46,73,171710.28,4852.36
233,1613,453863.8,6.01,64,81923.16,8306.38
234,2161,477874.08,9.91,125,333755.04,6144.26
235,1100,461873.3,7.02,245,346108.12,3553.01
236,2426,66863.63,4.45,120,3385.67,691.35
237,183,151486.28,7.22,199,14016.06,1307.83
238,2379,19324.58,12.86,147,5738.92,261.71
239,1999,283971.13,7.15,96,108571.07,3892.81
240,2149,311971.95,8.34,315,3690.54,2444.02
241,2346,183484.25,5.72,147,169861.3,1739.01
242,2086,382358.74,12.1,282,161655.53,4097.43
243,1314,448927.03,8.07,289,270355.71,3527.46
244,642,200080.87,8.24,65,28546.55,3826.43
245,1234,243859.66,10.33,87,168851.15,3993.9
246,1688,55817.34,6.6,350,12254.72,359.75
247,2573,423359.7,14.43,73,15310.46,8745.27
248,1987,94749.18,8.47,55,40068.79,2084.68
249,2086,457849.75,7.48,24,390895.1,20598.89
250,4,474933.42,13.22,252,194976.24,5585.33
251,1188,184541.98,8.44,44,44458.66,4891.14
252,142,356182.57,5.34,139,112964.49,3441.67
253,2141,376864.63,11.46,104,257381.38,5732.25
254,1875,424186.27,4.06,65,305293.73,7280.79
255,353,368232.83,12.75,90,224355.82,6374.96
256,2488,189411.76,7.53,217,84060.4,1600.37
257,561,232739.14,7.77,266,219053.17,1836.98
258,1784,293123.37,7.19,114,157426.32,3556.01
259,2479,245063.56,4.52,42,130571.75,6319.51
260,2263,344256.36,4.93,153,95737.62,3035.27
261,1146,328609.57,7.19,47,71088.39,8043.08
262,2636,321120.09,14.98,311,189634.1,4095.07
263,2710,206323.02,4.39,313,107246.88,1108.16
264,2108,233571.44,5.8,268,177713.96,1556.42
265,568,486389.98,3.61,219,263924.71,3035.55
266,359,451882.16,8.75,195,62689.03,4349.85
267,984,61111.51,9.4,343,28415.15,514.08
268,969,140453.72,13.94,229,13910.54,1756.33
269,1658,387810.97,14.76,268,271976.15,4957.3
270,2240,99040.52,14.32,182,92242.95,1336.12
271,1075,318330.75,10.09,48,73699.37,8087.46
272,2442,115676.34,6.56,162,79094.4,1078.13
273,560,255978.0,5.82,210,158636.21,1945.99
274,455,120624.76,10.85,198,41425.52,1311.3
275,2022,189719.51,12.03,122,180605.5,2702.11
276,1786,288545.52,13.16,335,100681.33,3248.49
277,2304,92919.0,10.8,279,36843.03,911.07
278,1157,271931.84,5.22,355,42391.47,1505.33
279,2226,88185.24,7.83,275,9914.96,690.94
280,1509,178959.21,3.75,89,23497.6,2306.47
281,443,417212.62,8.53,355,390032.95,3226.73
282,1115,141959.98,8.61,271,11438.09,1190.0
283,1293,373287.73,5.2,155,90498.78,3311.99
284,2084,195887.13,5.62,24,146728.66,8648.33
285,2997,308423.05,5.3,354,105531.91,1724.58
286,2961,253712.69,12.77,211,15548.7,3023.94
287,2090,486731.84,3.52,101,134367.37,5575.21
288,1394,58081.05,10.36,167,44466.01,658.03
289,2356,499789.06,7.02,76,105238.19,8164.93
290,2266,55583.48,4.46,55,25317.84,1119.29
291,1608,215523.35,9.8,267,181136.52,1986.55
292,462,172815.69,3.65,73,113646.32,2643.46
293,582,14676.64,13.28,101,11868.95,242.07
294,478,467315.65,6.93,237,51412.96,3624.66
295,2594,119319.38,9.93,213,90779.55,1193.7
296,1503,353396.34,5.22,189,190138.36,2746.46
297,2918,315763.41,7.77,174,145429.51,3030.32
298,2835,483913.56,7.58,290,267689.11,3643.49
299,1058,30466.07,4.03,20,2817.16,1577.59
300,196,91116.79,9.34,97,11555.06,1341.63
301,898,424394.84,13.91,82,378185.46,8046.99
302,2514,147493.57,7.28,300,69378.46,1068.95
303,457,377856.74,11.49,246,126834.4,4001.83
304,997,329189.12,7.21,237,232189.88,2608.59
305,545,10564.83,8.07,340,1640.93,79.15
306,1942,140161.97,12.87,57,77453.71,3299.47
307,1857,64699.52,8.9,303,10043.72,537.09
308,665,63334.47,10.06,55,56262.03,1442.08
309,352,259065.63,10.14,172,252543.25,2862.35
310,2304,330219.27,8.41,201,12049.7,3068.01
311,665,269754.11,10.65,40,129480.22,8041.13
312,1538,317337.57,8.67,171,83224.26,3238.32
313,1304,327386.1,6.2,214,156785.64,2531.93
314,1917,220377.99,10.1,270,145744.37,2070.23
315,2217,363776.82,7.91,237,149939.94,3038.18
316,1023,190660.99,6.19,263,189777.15,1326.22
317,1043,222879.61,14.89,123,67568.37,3542.9
318,2269,457191.95,5.32,167,17601.41,3880.84
319,406,468137.77,10.14,109,132920.79,6589.03
320,1386,492655.67,11.44,150,321980.91,6187.42
321,2808,129559.41,6.25,23,58224.21,5991.79
322,762,422414.34,4.9,26,6849.28,17157.51
323,791,110783.92,5.05,117,97023.71,1200.98
324,43,469346.57,9.52,348,274880.66,3977.8
325,521,395569.67,9.8,45,199707.28,10539.84
326,2987,224513.25,5.06,35,139861.93,6913.14
327,1276,484896.86,3.73,280,6598.49,2595.87
328,2531,365253.74,4.02,356,264980.42,1758.14
329,2424,47088.85,14.69,277,27159.27,596.97
330,2936,306783.24,12.68,52,245871.82,7698.56
331,2406,282792.71,13.11,35,26747.59,9766.28
332,734,64667.14,12.64,224,55824.48,753.2
333,2022,274554.61,14.78,23,184172.04,13780.56
334,2850,175066.08,14.78,70,123739.78,3746.55
335,332,499799.66,12.3,306,425968.2,5359.48
336,318,446176.5,10.05,228,35363.51,4392.73
337,1668,124501.04,5.94,360,44014.67,741.65
338,471,308710.76,7.21,310,111809.47,2198.04
339,2263,407832.71,9.24,120,357078.21,5219.37
340,757,105579.78,5.3,256,79623.16,689.42
341,1689,173909.74,4.56,148,46881.9,1538.48
342,385,146912.1,5.88,276,103943.83,972.11
343,2691,190384.23,12.72,250,187286.57,2173.81
344,518,65828.16,13.8,315,13557.1,778.25
345,1096,225788.12,5.85,244,165437.06,1584.35
346,1570,444308.05,6.52,330,404532.29,2898.99
347,1584,438651.16,7.7,306,130099.75,3277.64
348,467,290188.86,10.99,156,164289.04,3502.36
349,929,316920.84,6.59,67,55784.41,5666.45
350,2660,461257.76,14.54,61,82108.47,10740.9
351,1705,223499.81,8.97,21,188273.51,11539.67
352,305,98229.17,13.82,273,66453.58,1183.2
353,2695,195426.26,4.11,244,32402.94,1182.97
354,746,263405.5,4.57,28,150662.71,9935.7
355,2116,385893.02,5.87,237,328960.64,2754.04
356,2112,304753.84,4.88,292,300767.02,1785.08
357,1181,93030.29,10.13,214,9651.61,941.05
358,2105,215328.36,13.18,130,188512.77,3118.86
359,1349,370111.07,5.07,312,231381.21,2137.28
360,92,189873.98,11.4,235,135114.35,2023.1
361,2146,421741.22,3.67,157,59233.07,3386.6
362,2915,48780.6,8.77,76,42884.95,838.8
363,553,194324.64,6.09,333,139113.65,1210.53
364,1340,341251.98,9.52,300,73907.15,2986.25
365,882,88643.14,10.79,232,73346.85,911.27
366,2130,265254.66,5.44,91,219339.36,3563.86
367,19,172900.8,14.7,330,104611.83,2156.84
368,1712,310862.24,12.69,204,199797.91,3722.76
369,268,413890.11,9.44,298,396359.88,3604.89
370,1761,428409.27,9.32,15,214447.62,30367.21
371,1868,179812.22,8.42,107,158856.44,2395.16
372,1952,224346.34,7.58,177,102124.88,2109.03
373,776,267688.39,9.04,351,132630.48,2172.51
374,2382,331281.09,13.69,360,56583.96,3844.12
375,1648,339735.95,10.61,288,47511.21,3262.36
376,938,396555.87,3.96,335,332685.72,1958.0
377,1939,38083.94,11.02,334,26615.72,367.07
378,1875,437277.89,12.39,355,4231.29,4635.8
379,1419,110613.41,6.07,339,109508.83,682.99
380,1127,199097.13,4.55,248,69703.57,1239.98
381,1897,82118.12,12.71,159,36764.16,1070.18
382,363,253348.69,14.64,142,132017.31,3763.47
383,1406,141480.86,5.2,118,111101.09,1534.08
384,964,130571.63,10.54,273,52154.63,1262.87
385,1554,314270.25,7.73,246,217195.94,2549.86
386,2393,223282.38,7.77,97,131749.82,3107.14
387,1940,53515.61,4.17,309,43008.87,282.78
388,1996,474815.65,14.51,164,66339.48,6670.5
389,488,316301.96,14.39,321,14757.09,3877.47
390,2488,339670.32,13.62,189,321987.94,4373.39
391,2284,408811.47,4.51,302,46252.5,2266.49
392,1532,147449.63,6.87,190,122084.05,1275.19
393,601,167097.31,11.56,99,58757.31,2626.27
394,355,339699.07,11.83,333,254055.87,3481.62
395,1897,20511.55,3.79,254,4621.68,117.55
396,1180,426719.01,14.71,251,209391.61,5488.7
397,2054,212195.65,8.7,239,31006.13,1871.34
398,276,339647.49,13.94,86,25338.16,6266.41
399,2939,454021.44,12.39,84,438536.58,8109.72
400,2205,342785.8,7.13,283,293234.4,2505.26
401,1865,417251.08,13.76,76,7675.44,8255.04
402,1968,99150.99,7.5,301,46397.4,731.89
403,479,159120.76,4.87,33,42273.5,5161.69
404,2092,91387.3,7.47,101,23462.77,1221.6
405,133,161678.99,11.35,197,60617.95,1812.99
406,463,127378.91,7.35,18,92224.34,7495.5
407,2176,196925.65,8.15,240,90775.42,1665.6
408,1785,366352.81,5.53,62,40066.83,6806.71
409,2626,169538.68,13.24,96,108517.19,2872.29
410,1364,71503.39,8.63,105,57554.07,972.49
411,1836,16505.01,3.94,58,11767.8,312.99
412,560,293727.28,7.27,145,123345.64,3049.83
413,1238,35409.29,4.3,96,4102.92,436.57
414,2098,397621.21,10.69,53,214128.27,9444.97
415,1917,70524.46,14.67,105,52757.58,1196.11
416,390,333183.57,10.67,299,128461.73,3188.54
417,1914,80906.08,6.54,346,65926.76,520.28
418,192,266031.7,14.73,237,112072.83,3457.41
419,1614,407703.51,4.7,99,22464.18,4976.07
420,1612,252617.37,13.34,185,31354.64,3225.48
421,2059,273250.26,13.74,53,65262.58,6905.86
422,1808,396329.45,7.72,333,130162.9,2891.47
423,2454,283453.07,4.5,360,111822.53,1436.22
424,52,217455.59,5.16,334,176777.96,1228.02
425,1458,303643.75,4.99,262,44782.51,1904.89
426,43,354082.27,5.12,327,101363.76,2010.37
427,746,106058.51,6.94,33,43107.42,3539.59
428,1489,188433.12,5.9,231,22901.0,1366.62
429,2101,61865.58,13.47,39,17935.27,1967.52
430,1190,384104.81,6.53,202,340211.93,3138.99
431,2880,149649.06,8.9,122,65703.63,1868.4
432,2342,43402.75,6.54,290,35341.86,298.2
433,1500,308591.98,6.3,312,46779.55,2013.06
434,2649,263887.62,10.26,169,52347.58,2957.88
435,1868,373978.76,3.83,252,96080.57,2162.25
436,2546,464408.92,11.69,163,256384.88,5697.4
437,1829,173675.44,6.69,309,62612.97,1179.98
438,1141,102021.12,4.97,300,72440.86,594.62
439,2695,426021.09,5.22,205,387443.73,3144.9
440,2052,444353.72,9.32,302,289345.79,3820.46
441,539,30419.86,10.83,241,7721.94,310.12
442,2639,14315.89,6.73,252,747.21,106.24
443,1608,454222.01,11.35,122,307619.41,6291.22
444,2790,148983.55,11.95,62,6342.26,3232.2
445,1571,133600.87,3.69,193,109790.29,918.88
446,807,308978.54,6.73,315,118362.67,2092.2
447,1479,180972.78,12.96,194,61664.94,2232.28
448,759,361743.83,14.85,136,22033.8,5511.3
449,386,412164.81,13.84,121,25931.92,6335.53
450,859,22984.35,5.35,46,15038.79,553.75
451,387,325888.82,5.1,243,208393.24,2153.36
452,463,368920.03,10.57,134,256346.81,4701.16
453,1509,76625.13,9.99,31,19505.64,2814.65
454,406,119671.46,9.31,61,107495.09,2469.99
455,1792,216985.99,3.78,340,123908.23,1040.73
456,1978,360845.17,10.12,93,233936.63,5614.03
457,292,322975.43,6.23,293,114675.36,2147.85
458,912,137823.28,14.42,285,132266.93,1713.1
459,1038,200676.71,4.15,352,107682.73,986.7
460,1761,287701.32,8.94,29,85433.5,11067.75
461,752,29266.49,5.16,83,17283.11,420.02
462,930,430073.21,9.14,131,369538.37,5200.32
463,1154,283815.01,14.07,132,84447.73,4237.32
464,413,325888.82,12.34,192,101202.51,3897.91
465,2510,483393.68,6.23,359,405028.14,2972.88
466,497,10004.6,8.02,295,2935.13,77.76
467,2279,265698.18,9.61,114,222698.98,3562.96
468,1778,366037.27,6.32,317,26723.95,2377.54
469,2143,301405.43,10.09,324,280373.33,2714.4
470,755,78609.33,9.42,176,30407.03,825.57
471,1692,417641.44,5.65,163,333403.36,3675.7
472,1440,157675.47,11.21,140,27210.12,2023.43
473,1399,117512.14,6.12,134,46162.11,1212.63
474,2313,185597.03,9.94,353,36205.64,1625.75
475,701,493963.01,10.42,244,197035.57,4881.29
476,1233,420743.92,14.99,138,110199.45,6411.79
477,2234,294790.44,10.44,223,83254.77,2999.27
478,2834,322955.48,8.11,181,149573.28,3098.07
479,156,249731.89,5.64,273,93682.37,1625.7
480,2007,441104.39,7.67,167,248587.13,4304.87
481,1355,196073.81,4.13,279,9702.02,1094.49
482,2478,154318.39,14.61,317,99572.01,1920.26
483,2216,466958.27,10.98,60,312805.56,10148.15
484,2848,470460.8,6.46,192,110291.57,3937.03
485,506,162219.17,5.39,349,15539.58,921.48
486,388,489187.68,4.5,158,199477.72,4109.04
487,518,175274.31,13.2,304,159127.66,1999.91
488,1895,64264.24,6.45,129,9839.63,691.97
489,2036,328704.0,6.25,360,156040.64,2023.89
490,2296,167018.11,7.89,236,163291.02,1395.29
491,287,22581.34,8.55,224,20153.51,202.09
492,1935,246550.93,12.98,215,146083.5,2959.74
493,424,260339.0,5.08,28,122246.91,9879.4
494,1406,472315.08,12.82,314,48158.99,5231.9
495,1530,263866.35,8.63,169,7378.77,2702.75
496,895,373147.68,6.52,309,84976.5,2495.09
497,2573,288274.05,5.59,140,256191.92,2807.63
498,1358,195488.53,4.71,314,138515.19,1084.18
499,564,32576.63,12.35,37,1739.05,1063.17
500,278,356543.72,14.92,58,205524.5,8664.47
501,2257,439075.32,6.91,179,77582.58,3936.99
502,214,77166.8,6.63,148,52499.04,764.67
503,2062,169579.9,14.26,60,160102.71,3968.72
504,38,45631.82,9.24,23,16200.9,2172.47
505,2262,201595.98,10.28,33,157623.23,7039.06
506,983,305370.09,9.93,321,18577.23,2720.01
507,541,477117.78,6.26,34,386087.75,15350.6
508,2672,455218.66,12.11,320,194821.05,4786.47
509,2291,329874.35,8.15,129,318351.94,3847.02
510,2663,178434.59,4.19,170,53031.94,1393.55
511,385,16987.2,10.45,151,9252.5,202.65
512,1765,184073.69,7.18,222,10427.12,1500.46
513,2946,404253.74,11.97,331,18740.71,4189.22
514,2257,300598.58,3.84,227,56889.69,1864.93
515,1638,220230.09,12.41,274,75330.23,2422.05
516,875,49377.3,8.55,358,8115.41,381.88
517,2108,136609.2,6.75,120,73436.44,1568.6
518,2068,366432.88,8.97,312,331785.29,3036.44
519,476,403816.14,14.69,155,197061.43,5827.31
520,459,136194.24,9.17,79,122675.51,2302.78
521,2565,100702.99,12.01,287,80443.38,1069.22
522,1827,278119.26,4.59,146,203659.65,2489.63
523,1588,376920.91,10.84,248,78937.34,3814.99
524,879,237111.81,4.19,328,82942.46,1215.33
525,1496,356337.73,9.89,19,115694.97,20338.36
526,1063,317628.9,11.15,265,135439.77,3229.75
527,410,186489.39,4.57,82,98965.41,2652.11
528,745,341021.58,6.13,209,102439.14,2658.62
529,1376,372309.94,12.3,261,313345.94,4102.68
530,478,246666.77,4.96,295,186044.38,1448.58
531,373,429347.66,4.55,318,92665.68,2326.13
532,1103,444966.92,14.5,235,226310.41,5716.55
533,1698,384164.92,10.2,24,102130.36,17762.75
534,548,394064.45,13.84,200,47625.86,5055.01
535,273,173502.36,13.34,207,149541.73,2146.47
536,2437,205219.95,10.35,301,169266.19,1914.36
537,1842,398611.73,10.76,60,340038.07,8619.15
538,2207,299379.16,7.08,209,289188.96,2496.4
539,412,322831.23,11.27,324,162666.5,3186.06
540,2462,137240.34,4.95,108,5674.74,1577.33
541,911,263321.8,8.2,229,772.68,2278.37
542,819,213854.95,9.17,298,173009.62,1822.8
543,15,279730.27,7.06,186,91348.12,2477.97
544,2966,216140.82,9.79,312,148792.38,1915.13
545,1014,20059.74,12.76,243,12893.2,230.98
546,488,320582.57,8.4,88,188511.05,4891.84
